the_geom,TYPE,OBJECTID,BORO,PROVIDER,NAME,LOCATION,LAT,LON,X,Y,LOCATION_T,REMARKS,CITY,SSID,SOURCEID,ACTIVATED
POINT (-73.95620099946304 40.68131599980613),Free,3223,BK,LinkNYC - Citybridge,bk-03-145784,1139 Fulton Street,40.681316,-73.956201,996398.026068,187501.247165,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-018101,03/24/2017 12:00:00 AM +0000
POINT (-73.95570356280166 40.68095126047006),Free,3224,BK,LinkNYC - Citybridge,bk-03-145796,540 Franklin Ave,40.680951,-73.955704,996536.061776,187368.431468,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-018102,03/24/2017 12:00:00 AM +0000
POINT (-73.95062700041865 40.670115000362195),Free,3225,BK,LinkNYC - Citybridge,bk-08-126469,529 EASTERN PARKWAY,40.670115,-73.950627,997946.322449,183421.224939,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-011761,02/23/2017 12:00:00 AM +0000
POINT (-73.95035500040727 40.67064699973778),Free,3226,BK,LinkNYC - Citybridge,bk-08-126832,777 NOSTRAND AVENUE,40.670647,-73.950355,998021.666783,183615.090264,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-014052,02/23/2017 12:00:00 AM +0000
POINT (-73.95039699961877 40.67014700030191),Free,3227,BK,LinkNYC - Citybridge,bk-08-127030,791 NOSTRAND AVENUE,40.670147,-73.950397,998010.119016,183432.919491,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-011768,02/23/2017 12:00:00 AM +0000
POINT (-73.9499159996431 40.676976000147185),Free,3228,BK,LinkNYC - Citybridge,bk-08-127034,628 NOSTRAND AVENUE,40.676976,-73.949916,998142.128273,185920.994624,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-011604,03/07/2017 12:00:00 AM +0000
POINT (-73.95107000035779 40.785671999985574),Free,2349,MN,Transit Wireless,96 St (6),96 St (6),40.785672,-73.95107,997799.915245,225522.16384,Subway Station,SN 396,New York,TransitWirelessWiFi,,11/30/1899 12:00:00 AM +0000
POINT (-73.95023399972413 40.67426599961932),Free,3229,BK,LinkNYC - Citybridge,bk-08-127037,794 PROSPECT PLACE,40.674266,-73.950234,998054.483457,184933.613917,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-013095,03/03/2017 12:00:00 AM +0000
POINT (-73.95007800034789 40.673526999917726),Free,3230,BK,LinkNYC - Citybridge,bk-08-127039,695 NOSTRAND AVENUE,40.673527,-73.950078,998097.909397,184664.39978,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-013212,03/08/2017 12:00:00 AM +0000
POINT (-73.9497989414677 40.67826809954894),Free,3231,BK,LinkNYC - Citybridge,bk-08-127044,590 NOSTRAND AVENUE,40.678268,-73.949799,998174.327925,186391.762254,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-013489,03/01/2017 12:00:00 AM +0000
POINT (-73.94993500047741 40.67675199994893),Free,3232,BK,LinkNYC - Citybridge,bk-08-127047,632 NOSTRAND AVENUE,40.676752,-73.949935,998136.904761,185839.381999,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-011595,03/08/2017 12:00:00 AM +0000
POINT (-73.950008000527 40.675964999689384),Free,3233,BK,LinkNYC - Citybridge,bk-08-145032,656 NOSTRAND AVENUE,40.675965,-73.950008,998116.819842,185552.643822,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-011729,03/08/2017 12:00:00 AM +0000
POINT (-73.96058099967874 40.6608519997626),Free,3234,BK,LinkNYC - Citybridge,bk-09-126569,535 FLATBUSH AVE,40.660852,-73.960581,995186.55086,180045.05376,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-001078,03/07/2017 12:00:00 AM +0000
POINT (-73.95817300032414 40.67031800033381),Free,3235,BK,LinkNYC - Citybridge,bk-09-126616,806 FRANKLIN AVE,40.670318,-73.958173,995852.988355,183494.093898,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-002457,02/08/2017 12:00:00 AM +0000
POINT (-73.95826100005608 40.66965200020024),Free,3236,BK,LinkNYC - Citybridge,bk-09-126617,837 FRANKLIN AVE,40.669652,-73.958261,995828.692397,183251.439576,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-002456,12/09/2016 12:00:00 AM +0000
POINT (-73.95871700057046 40.66879999960963),Free,3237,BK,LinkNYC - Citybridge,bk-09-126619,856 FRANKLIN AVE,40.6688,-73.958717,995702.341087,182940.971909,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-002455,12/05/2016 12:00:00 AM +0000
POINT (-73.95091599964871 40.66620299987305),Free,3238,BK,LinkNYC - Citybridge,bk-09-127020,926 NOSTRAND AVENUE,40.666203,-73.950916,997866.951003,181995.927771,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-011635,03/01/2017 12:00:00 AM +0000
POINT (-73.950768967431 40.66072922096385),Free,3239,BK,LinkNYC - Citybridge,bk-09-127021,1106 NOSTRAND AVENUE,40.660729,-73.950769,997908.861752,180001.699349,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-013458,03/07/2017 12:00:00 AM +0000
POINT (-73.95045012505102 40.65773706775657),Free,3240,BK,LinkNYC - Citybridge,bk-09-127022,1208 NOSTRAND AVENUE,40.657737,-73.95045,997997.939372,178911.624487,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-013459,03/07/2017 12:00:00 AM +0000
POINT (-73.91100800021077 40.67835399983888),Free,3241,BK,LinkNYC - Citybridge,bk-16-126635,2057 FULTON STREET,40.678354,-73.911008,1008933.78303,186431.606576,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-002347,12/09/2016 12:00:00 AM +0000
POINT (-73.9153226206231 40.817950321564076),Free,3242,BX,LinkNYC - Citybridge,bx-01-109413,2939 3 AVENUE,40.81795,-73.915323,1007687.86942,237289.83257,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-010460,12/22/2016 12:00:00 AM +0000
POINT (-73.92296583498249 40.81675427876146),Free,3243,BX,LinkNYC - Citybridge,bx-01-116415,522 MORRIS AVENUE,40.816754,-73.922966,1005572.68644,236852.118399,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-010890,03/06/2017 12:00:00 AM +0000
POINT (-73.91557399947389 40.81744599974769),Free,3244,BX,LinkNYC - Citybridge,bx-01-118942,2922 3 AVENUE,40.817446,-73.915574,1007618.46721,237106.022977,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-014483,12/28/2016 12:00:00 AM +0000
POINT (-73.91585087359121 40.81724930666312),Free,3245,BX,LinkNYC - Citybridge,bx-01-118944,2914 3 AVENUE,40.817249,-73.915851,1007541.89952,237034.286902,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-014492,12/22/2016 12:00:00 AM +0000
POINT (-73.91623912892072 40.81716063285961),Free,3246,BX,LinkNYC - Citybridge,bx-01-118955,2901 3 AVENUE,40.817161,-73.916239,1007434.46411,237001.876906,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-013313,12/22/2016 12:00:00 AM +0000
POINT (-73.91651085004636 40.81669822745316),Free,3247,BX,LinkNYC - Citybridge,bx-01-118956,2882 3 AVENUE,40.816698,-73.916511,1007359.41423,236833.33418,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-012080,12/22/2016 12:00:00 AM +0000
POINT (-73.914672682156 40.81848999020787),Free,3248,BX,LinkNYC - Citybridge,bx-01-123214,2969 3 AVENUE,40.81849,-73.914673,1007867.5745,237486.627924,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-014021,12/28/2016 12:00:00 AM +0000
POINT (-73.91338799986094 40.819567999566544),Free,3249,BX,LinkNYC - Citybridge,bx-01-123215,3012 3 AVENUE,40.819568,-73.913388,1008222.77057,237879.734422,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011877,12/22/2016 12:00:00 AM +0000
POINT (-73.91373185480377 40.819505906043965),Free,3250,BX,LinkNYC - Citybridge,bx-01-123216,3015 3 AVENUE,40.819506,-73.913732,1008127.6194,237857.0176,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011425,12/22/2016 12:00:00 AM +0000
POINT (-73.91427215278195 40.81887742005382),Free,3251,BX,LinkNYC - Citybridge,bx-01-123217,2991 3 AVENUE,40.818877,-73.914272,1007978.29796,237627.890593,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011461,03/06/2017 12:00:00 AM +0000
POINT (-73.92921300011483 40.8188859998453),Free,3252,BX,LinkNYC - Citybridge,bx-01-145688,518 GERARD AVE,40.818886,-73.929213,1003842.87389,237627.322095,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-005422,11/08/2016 12:00:00 AM +0000
POINT (-73.92484199970504 40.827827999862365),Free,3253,BX,LinkNYC - Citybridge,bx-04-113552,875 GERARD AVENUE,40.827828,-73.924842,1005049.91139,240886.224364,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-005430,07/15/2016 12:00:00 AM +0000
POINT (-73.92174699978035 40.83146699978043),Free,3254,BX,LinkNYC - Citybridge,bx-04-119048,105 East 165 Street,40.831467,-73.921747,1005905.26534,242212.795232,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001785,06/15/2016 12:00:00 AM +0000
POINT (-73.9283700000216 40.818941999813056),Free,3255,BX,LinkNYC - Citybridge,bx-04-119146,135 East 149st,40.818942,-73.92837,1004076.18803,237647.914586,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001792,06/15/2016 12:00:00 AM +0000
POINT (-73.91584800054504 40.83944500009085),Free,3256,BX,LinkNYC - Citybridge,bx-04-119157,96 East 170 street,40.839445,-73.915848,1007534.92634,245120.988449,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001363,09/15/2016 12:00:00 AM +0000
POINT (-73.92522300015396 40.827355000265605),Free,3257,BX,LinkNYC - Citybridge,bx-04-119159,72 EAST 161 STREET,40.827355,-73.925223,1004944.61711,240713.802974,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-005427,07/19/2016 12:00:00 AM +0000
POINT (-73.9259039999364 40.82754900043572),Free,3258,BX,LinkNYC - Citybridge,bx-04-119160,52 EAST 161 STREET,40.827549,-73.925904,1004756.08986,240784.324096,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-005426,09/13/2016 12:00:00 AM +0000
POINT (-73.92684699962489 40.819885999607486),Free,3259,BX,LinkNYC - Citybridge,bx-04-140582,597 GRAND CONCOURSE,40.819886,-73.926847,1004497.44594,237992.196124,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001006,07/15/2016 12:00:00 AM +0000
POINT (-73.92264799976759 40.8315440002005),Free,3260,BX,LinkNYC - Citybridge,bx-04-145687,1049 GERARD AVENUE,40.831544,-73.922648,1005655.90331,242240.6277,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-005435,01/17/2017 12:00:00 AM +0000
POINT (-73.90109099969074 40.85775599960873),Free,3261,BX,LinkNYC - Citybridge,bx-05-102420,126 East 183 street,40.857756,-73.901091,1011610.66565,251796.642268,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001365,06/29/2016 12:00:00 AM +0000
POINT (-73.90789899946009 40.85376399968942),Free,3262,BX,LinkNYC - Citybridge,bx-05-111414,8 WEST BURNSIDE AVENUE,40.853764,-73.907899,1009728.9351,250340.151057,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-010317,01/17/2017 12:00:00 AM +0000
POINT (-73.91023500012912 40.85435199969676),Free,3263,BX,LinkNYC - Citybridge,bx-05-113539,70 WEST BURNSIDE AVENUE,40.854352,-73.910235,1009082.48185,250553.710995,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-010287,01/17/2017 12:00:00 AM +0000
POINT (-73.89306000004784 40.86021499974611),Free,3264,BX,LinkNYC - Citybridge,bx-05-116218,2461 Webster Ave,40.860215,-73.89306,1013831.14327,252695.160434,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-000067,05/25/2016 12:00:00 AM +0000
POINT (-73.9114390000122 40.85476400005577),Free,3265,BX,LinkNYC - Citybridge,bx-05-119566,1999 UNIVERSITY AVENUE,40.854764,-73.911439,1008749.2571,250703.479265,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-013237,01/17/2017 12:00:00 AM +0000
POINT (-73.90031600043179 40.86231400000951),Free,3266,BX,LinkNYC - Citybridge,bx-05-119573,2454 Walton Ave,40.862314,-73.900316,1011823.15986,253457.539719,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001777,09/15/2016 12:00:00 AM +0000
POINT (-73.89802299961018 40.86134900001797),Free,3267,BX,LinkNYC - Citybridge,bx-05-119575,2437 Grand Concourse,40.861349,-73.898023,1012457.82568,253106.683134,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-000072,07/19/2016 12:00:00 AM +0000
POINT (-73.89858100021759 40.86165500035112),Free,3268,BX,LinkNYC - Citybridge,bx-05-119587,150 E 188St,40.861655,-73.898581,1012303.34847,253217.991517,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-000074,05/25/2016 12:00:00 AM +0000
POINT (-73.90555300036641 40.85304199956245),Free,3269,BX,LinkNYC - Citybridge,bx-05-119590,104 East Burnside Ave,40.853042,-73.905553,1010378.21883,250077.79008,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001787,07/01/2016 12:00:00 AM +0000
POINT (-73.90540300041171 40.85315700002623),Free,3270,BX,LinkNYC - Citybridge,bx-05-119592,101 East Burnside Ave,40.853157,-73.905403,1010419.6702,250119.733725,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001788,07/07/2016 12:00:00 AM +0000
POINT (-73.90236899971805 40.8606299995518),Free,3271,BX,LinkNYC - Citybridge,bx-05-119606,2374 Jerome Ave,40.86063,-73.902369,1011255.97247,252843.354106,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001780,07/01/2016 12:00:00 AM +0000
POINT (-73.90938800041533 40.85384199974041),Free,3272,BX,LinkNYC - Citybridge,bx-05-119610,48 WEST BURNSIDE AVENUE,40.853842,-73.909388,1009316.98704,250368.139828,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011861,02/08/2017 12:00:00 AM +0000
POINT (-73.90750200036838 40.85393299969711),Free,3273,BX,LinkNYC - Citybridge,bx-05-119613,1 WEST BURNSIDE AVENUE,40.853933,-73.907502,1009838.69662,250401.839908,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011588,01/12/2017 12:00:00 AM +0000
POINT (-73.89855299985082 40.859153000319324),Free,3274,BX,LinkNYC - Citybridge,bx-05-119628,2366-2370 Grand Concourse,40.859153,-73.898553,1012312.1492,252306.425767,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-000076,07/15/2016 12:00:00 AM +0000
POINT (-73.90866199940737 40.85388100023551),Free,3275,BX,LinkNYC - Citybridge,bx-05-123185,23 WEST BURNSIDE AVE,40.853881,-73.908662,1009517.81346,250382.557597,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-012881,01/12/2017 12:00:00 AM +0000
POINT (-73.90324400019925 40.86264399992136),Free,3276,BX,LinkNYC - Citybridge,bx-07-119564,48 W Fordham Rd,40.862644,-73.903244,1011013.12598,253576.863331,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-000070,09/15/2016 12:00:00 AM +0000
POINT (-73.89719499992829 40.867325999861876),Free,3277,BX,LinkNYC - Citybridge,bx-07-119749,2 EAST KINGSBRIDGE ROAD,40.867326,-73.897195,1012684.30268,255284.603048,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001353,02/08/2017 12:00:00 AM +0000
POINT (-73.89762399947392 40.86736200013928),Free,3278,BX,LinkNYC - Citybridge,bx-07-119760,2663 Jerome Ave,40.867362,-73.897624,1012565.63252,255297.580283,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001354,07/19/2016 12:00:00 AM +0000
POINT (-73.89872999954734 40.86762699962298),Free,3279,BX,LinkNYC - Citybridge,bx-07-119873,26 West Kingsbridge Rd,40.867627,-73.89873,1012259.61838,255393.774504,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001773,07/15/2016 12:00:00 AM +0000
POINT (-73.9862289995322 40.755982999669584),Free,2288,MN,Transit Wireless,Grand Central Shuttle  - S,Times Square - 42nd Street,40.755983,-73.986229,988065.227792,214701.987105,Subway Station,SN 468,New York,TransitWirelessWiFi,,11/30/1899 12:00:00 AM +0000
